"","Syringe","ResetTime","H2O_mL","air_mL","CO2","delCO2","CH4","delCH4","SampleID","pH","WaterTemp_C","Baro_inHg","AirTemp_C"
"21",91,"2018-08-24 03:49:10",40,70,784.204211181486,-23.2937326788514,6.81324113779189,-57.6141496972162,"Blaine_822_1000",8.15,14.11,26.95,20.8
"22",92,"2018-08-24 03:18:03",40,70,568.845024102361,-21.8168022255139,5.34930629325,-57.9700681279167,"Blaine_822_2000",8.49,18.86,26.75,18.8
"23",94,"2018-08-24 03:22:44",40,70,835.772620335417,-24.9210119524074,6.94964580776111,-58.1949451520833,"Blaine_822_0800",8.07,13.64,26.99,6.1
"24",97,"2018-08-24 03:51:24",40,70,880.192943506343,-24.5230801288056,6.68688465849167,-57.051428862,"Blaine_822_0600",8.04,14.12,26.99,5.9
"25",98,"2018-08-24 04:05:39",40,70,650.223832270278,-21.0506663735833,5.88961075708333,-57.8550580972222,"Blaine_822_1400",8.41,18.26,26.87,31.9
"26",1,"2018-08-24 03:20:18",40,70,800.696092099306,-23.3455919610741,6.53485409081667,-58.2546498952222,"Blaine_822_1000",8.15,14.11,26.95,20.8
"27",4,"2018-08-24 03:08:20",40,70,604.025056191806,-19.8366175840139,5.26808170627778,-57.2137789718889,"Blaine_822_1600",8.47,19.71,26.81,34.2
"28",17,"2018-08-24 02:36:10",40,70,636.127138820238,-19.9848449575857,5.22482807482286,-58.5147187447429,"Blaine_822_1800",8.51,19.86,26.77,24.9
"29",22,"2018-08-24 04:10:15",40,70,695.967542827297,-22.0494133539595,5.9646323093027,-57.4778127185946,"Blaine_822_1200",8.31,16.14,26.92,23.4
"30",24,"2018-08-24 01:59:09",40,70,577.896662462361,-21.6396934398194,5.55415235281667,-58.6090278225,"Blaine_822_2000",8.49,18.86,26.75,18.8
"31",28,"2018-08-24 01:51:42",40,70,874.014564913243,-24.4307647783649,6.61779656704054,-57.7646248754054,"Blaine_823_0600",8.1,14.52,26.81,3.9
"32",31,"2018-08-24 03:30:09",40,70,855.409072638784,-21.3264156143784,5.71377913629459,-57.9506448248108,"Blaine_822_1400",8.41,18.26,26.87,31.9
"33",51,"2018-08-24 02:28:23",40,70,873.051086739583,-22.91896887925,6.19062916389167,-58.3559341195,"Blaine_823_0200",8.11,15.63,26.78,8.7
"34",52,"2018-08-24 01:54:12",40,70,876.022806191944,-23.3085771411389,6.27054227755,-58.0232969348333,"Blaine_823_0000",8.1,16.35,26.78,8.3
"35",53,"2018-08-24 04:03:20",40,70,717.177968899861,-21.852409092125,5.947876056075,-58.328184616,"Blaine_822_2200",8.3,17.48,26.76,10.5
"36",56,"2018-08-24 02:48:42",40,70,891.448191704595,-23.6727100931081,6.516700327,-57.7159619398649,"Blaine_823_0400",8.1,15.01,26.8,5
"37",90,"2018-08-24 03:32:24",40,70,885.9733167325,-24.2370835369306,6.40732110054167,-58.27891505125,"Blaine_822_0600",8.04,14.12,26.99,5.9
"38",95,"2018-08-24 04:12:38",40,70,865.341853986905,-24.9049541501762,6.90655476408,-57.8971703649429,"Blaine_822_0800",8.07,13.64,26.99,6.1
