"","SampleID","Syringe","ResetTime","H2O_mL","air_mL","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4","pH","WaterTemp_C","Baro_inHg","AirTemp_C","pRH","Syringes"
"23","Blaine_822_2000",14,"2018-08-24 03:25:06",40,70,2018-08-24 03:25:06,44,2018-08-24 03:25:36,595.638510408333,-21.258806882,5.3344609181913,-57.7046073893913,8.49,18.86,26.75,18.8,71.4,"14_92_24"
"24","Blaine_822_2000",92,"2018-08-24 03:18:03",40,70,2018-08-24 03:18:03,41,2018-08-24 03:18:33,569.488528743125,-21.6943587407292,5.3479573897,-57.8047699863333,8.49,18.86,26.75,18.8,71.4,"14_92_24"
"25","Blaine_822_2200",38,"2018-08-24 02:38:34",40,70,2018-08-24 02:38:34,26,2018-08-24 02:39:04,704.658883209167,-22.091037351375,5.6702112224,-58.2176655120417,8.3,17.48,26.76,10.5,92.3,"30_38_53"
"26","Blaine_822_2200",53,"2018-08-24 04:03:20",40,70,2018-08-24 04:03:20,60,2018-08-24 04:03:50,716.903184714167,-21.74805064675,5.942535593925,-58.06135721875,8.3,17.48,26.76,10.5,92.3,"30_38_53"
"27","Blaine_822_2200",30,"2018-08-24 02:26:04",40,70,2018-08-24 02:26:04,21,2018-08-24 02:26:34,713.359913185625,-21.3971842004583,5.93498370042917,-58.4901346936667,8.3,17.48,26.76,10.5,92.3,"30_38_53"
"28","Blaine_823_0000",9,"2018-08-24 01:49:14",40,70,2018-08-24 01:49:14,9,2018-08-24 01:49:44,901.444260871458,-22.8979892272083,6.32414551810833,-58.0791115078333,8.1,16.35,26.78,8.3,93.8,"7_9_52"
"29","Blaine_823_0000",7,"2018-08-24 03:15:36",40,70,2018-08-24 03:15:36,40,2018-08-24 03:16:06,890.829339533333,-22.4755627885417,6.301034179425,-57.5125939215833,8.1,16.35,26.78,8.3,93.8,"7_9_52"
"30","Blaine_823_0000",52,"2018-08-24 01:54:12",40,70,2018-08-24 01:54:12,11,2018-08-24 01:54:42,875.815034574375,-23.3240438180417,6.2673991164625,-57.705852907,8.1,16.35,26.78,8.3,93.8,"7_9_52"
"31","Blaine_823_0200",36,"2018-08-24 02:45:55",40,70,2018-08-24 02:45:55,28,2018-08-24 02:46:25,869.460700855417,-23.3058636245833,6.393304755675,-57.8745367967083,8.11,15.63,26.78,8.7,92.4,"39_36_51"
"32","Blaine_823_0200",51,"2018-08-24 02:28:23",40,70,2018-08-24 02:28:23,22,2018-08-24 02:28:53,872.142691529375,-22.8284869171875,6.18562108655,-58.238084889125,8.11,15.63,26.78,8.7,92.4,"39_36_51"
"33","Blaine_823_0200",39,"2018-08-24 03:58:39",40,70,2018-08-24 03:58:39,58,2018-08-24 03:59:09,898.679247593333,-23.2719177979375,6.43888447911667,-58.0146377808333,8.11,15.63,26.78,8.7,92.4,"39_36_51"
"34","Blaine_823_0400",37,"2018-08-24 01:56:36",40,70,2018-08-24 01:56:36,12,2018-08-24 01:57:06,902.101083809792,-24.06785490225,6.50759451369167,-58.102654780375,8.1,15.01,26.8,5,94,"37_12_56"
"35","Blaine_823_0400",56,"2018-08-24 02:48:42",40,70,2018-08-24 02:48:42,29,2018-08-24 02:49:12,891.263725236458,-23.5971251342292,6.51471646946667,-57.3086643215833,8.1,15.01,26.8,5,94,"37_12_56"
"36","Blaine_823_0400",12,"2018-08-24 02:01:38",40,70,2018-08-24 02:01:38,14,2018-08-24 02:02:08,877.375066403125,-23.878643792125,6.517518953125,-57.7160616895,8.1,15.01,26.8,5,94,"37_12_56"
"37","Blaine_823_0600",28,"2018-08-24 01:51:42",40,70,2018-08-24 01:51:42,10,2018-08-24 01:52:12,873.673178869167,-24.364881833125,6.61167681401667,-57.7545652178333,8.1,14.52,26.81,3.9,95.1,"35_34_28"
"38","Blaine_823_0600",35,"2018-08-24 02:50:55",40,70,2018-08-24 02:50:55,30,2018-08-24 02:51:25,866.405576303958,-23.7025933021875,6.451792075075,-57.585236202375,8.1,14.52,26.81,3.9,95.1,"35_34_28"
