"","Site","Date","Time","CO2","delCO2","CH4","delCH4","WaterTemp_C","Baro_inHg","pH","Alk_mgLCaCO3","Alk_mol_m3","SampleDateTime"
"39","Beaver","2018-08-31","2:00",747.7467992,-21.82952681,17.40735116,-62.98886935,7.88,26.45,7.93,144,0.00239968004266098,2018-08-31 02:00:00
"54","Beaver","2018-08-31","2:00",742.3729104,-22.01308364,17.48240496,-63.03682278,7.88,26.45,7.93,144,0.00239968004266098,2018-08-31 02:00:00
"70","Beaver","2018-08-31","2:00",772.3082757,-21.67395709,18.25249586,-63.30304257,7.88,26.45,7.93,144,0.00239968004266098,2018-08-31 02:00:00
"43","Beaver","2018-08-31","4:00",757.9853242,-22.08613992,18.16890187,-63.46526697,7.62,26.46,7.94,145,0.00241634448740168,2018-08-31 04:00:00
"58","Beaver","2018-08-31","4:00",752.9999762,-22.14289789,17.58000294,-63.5043923,7.62,26.46,7.94,145,0.00241634448740168,2018-08-31 04:00:00
"69","Beaver","2018-08-31","4:00",771.2353602,-21.98725003,18.46182903,-63.3747931,7.62,26.46,7.94,145,0.00241634448740168,2018-08-31 04:00:00
"41","Beaver","2018-08-31","6:00",783.0614506,-22.0580514,17.32959501,-63.20679812,7.67,26.45,7.9,145,0.00241634448740168,2018-08-31 06:00:00
"52","Beaver","2018-08-31","6:00",800.0039136,-21.79127129,17.08900928,-63.48221161,7.67,26.45,7.9,145,0.00241634448740168,2018-08-31 06:00:00
"65","Beaver","2018-08-31","6:00",787.6600897,-22.04068124,17.09320581,-63.32403653,7.67,26.45,7.9,145,0.00241634448740168,2018-08-31 06:00:00
"11","Blaine","2018-08-22","10:00",835.967147747222,-23.771539788,6.74123954678333,-57.3042013608333,14.11,26.95,8.18,NA,NA,2018-08-22 10:00:00
"21","Blaine","2018-08-22","10:00",784.204211181486,-23.2937326788514,6.81324113779189,-57.6141496972162,14.11,26.95,8.18,NA,NA,2018-08-22 10:00:00
"26","Blaine","2018-08-22","10:00",800.696092099306,-23.3455919610741,6.53485409081667,-58.2546498952222,14.11,26.95,8.18,NA,NA,2018-08-22 10:00:00
"5","Blaine","2018-08-22","12:00",740.003082631667,-21.8543201651286,5.9352482592,-57.9757628686,16.14,26.92,8.37,150,0.00249966671110519,2018-08-22 12:00:00
"18","Blaine","2018-08-22","12:00",731.898996817143,-22.0112118116714,5.50530516266,-56.3244893068857,16.14,26.92,8.37,150,0.00249966671110519,2018-08-22 12:00:00
"29","Blaine","2018-08-22","12:00",695.967542827297,-22.0494133539595,5.9646323093027,-57.4778127185946,16.14,26.92,8.37,150,0.00249966671110519,2018-08-22 12:00:00
"4","Blaine","2018-08-22","14:00",743.424846185417,-20.8930942267639,5.75269675569722,-57.6671350192778,18.26,26.87,8.38,NA,NA,2018-08-22 14:00:00
"25","Blaine","2018-08-22","14:00",650.223832270278,-21.0506663735833,5.88961075708333,-57.8550580972222,18.26,26.87,8.38,NA,NA,2018-08-22 14:00:00
"32","Blaine","2018-08-22","14:00",855.409072638784,-21.3264156143784,5.71377913629459,-57.9506448248108,18.26,26.87,8.38,NA,NA,2018-08-22 14:00:00
"1","Blaine","2018-08-22","16:00",644.406283759595,-19.9125286645541,5.4467782378973,-58.6377426999189,19.71,26.81,8.45,155,0.00258298893480869,2018-08-22 16:00:00
"14","Blaine","2018-08-22","16:00",636.121438001095,-20.3527482962429,5.60298925464,-58.5320990693143,19.71,26.81,8.45,155,0.00258298893480869,2018-08-22 16:00:00
"27","Blaine","2018-08-22","16:00",604.025056191806,-19.8366175840139,5.26808170627778,-57.2137789718889,19.71,26.81,8.45,155,0.00258298893480869,2018-08-22 16:00:00
"2","Blaine","2018-08-22","18:00",651.054143079815,-20.9874221678704,5.36905382693611,-58.2639611163889,19.86,26.77,8.46,156,0.00259965337954939,2018-08-22 18:00:00
"15","Blaine","2018-08-22","18:00",599.431955780946,-20.3632897052432,5.22141155895405,-57.9943067827297,19.86,26.77,8.46,156,0.00259965337954939,2018-08-22 18:00:00
"28","Blaine","2018-08-22","18:00",636.127138820238,-19.9848449575857,5.22482807482286,-58.5147187447429,19.86,26.77,8.46,156,0.00259965337954939,2018-08-22 18:00:00
"6","Blaine","2018-08-22","20:00",595.151786010333,-21.3921556028857,5.33537412142571,-57.6649414152286,18.86,26.75,8.4,154,0.00256632449006799,2018-08-22 20:00:00
"22","Blaine","2018-08-22","20:00",568.845024102361,-21.8168022255139,5.34930629325,-57.9700681279167,18.86,26.75,8.4,154,0.00256632449006799,2018-08-22 20:00:00
"30","Blaine","2018-08-22","20:00",577.896662462361,-21.6396934398194,5.55415235281667,-58.6090278225,18.86,26.75,8.4,154,0.00256632449006799,2018-08-22 20:00:00
"7","Blaine","2018-08-22","22:00",714.242918185417,-21.4303968386111,5.94858195354444,-58.5841003161389,17.48,26.76,8.25,155,0.00258298893480869,2018-08-22 22:00:00
"20","Blaine","2018-08-22","22:00",704.974693336389,-22.0277324966111,5.66874769488889,-58.2078133695833,17.48,26.76,8.25,155,0.00258298893480869,2018-08-22 22:00:00
"35","Blaine","2018-08-22","22:00",717.177968899861,-21.852409092125,5.947876056075,-58.328184616,17.48,26.76,8.25,155,0.00258298893480869,2018-08-22 22:00:00
"13","Blaine","2018-08-22","6:00",834.082028755676,-24.3171608141216,6.63524625444054,-57.2183163102703,14.12,26.99,8.12,149,0.00248300226636448,2018-08-22 06:00:00
"24","Blaine","2018-08-22","6:00",880.192943506343,-24.5230801288056,6.68688465849167,-57.051428862,14.12,26.99,8.12,149,0.00248300226636448,2018-08-22 06:00:00
"37","Blaine","2018-08-22","6:00",885.9733167325,-24.2370835369306,6.40732110054167,-58.27891505125,14.12,26.99,8.12,149,0.00248300226636448,2018-08-22 06:00:00
"12","Blaine","2018-08-22","8:00",850.302420887571,-24.6464934677857,7.17508052156571,-56.7965639813429,13.64,26.99,8.12,NA,NA,2018-08-22 08:00:00
"23","Blaine","2018-08-22","8:00",835.772620335417,-24.9210119524074,6.94964580776111,-58.1949451520833,13.64,26.99,8.12,NA,NA,2018-08-22 08:00:00
"38","Blaine","2018-08-22","8:00",865.341853986905,-24.9049541501762,6.90655476408,-57.8971703649429,13.64,26.99,8.12,NA,NA,2018-08-22 08:00:00
"3","Blaine","2018-08-23","0:00",891.775523203426,-22.5256937499074,6.30530407959444,-57.9017937018889,16.35,26.78,8.12,NA,NA,2018-08-23 00:00:00
"16","Blaine","2018-08-23","0:00",901.296976992778,-23.0302275262639,6.34192861223056,-58.0901130422778,16.35,26.78,8.12,NA,NA,2018-08-23 00:00:00
"34","Blaine","2018-08-23","0:00",876.022806191944,-23.3085771411389,6.27054227755,-58.0232969348333,16.35,26.78,8.12,NA,NA,2018-08-23 00:00:00
"10","Blaine","2018-08-23","2:00",899.505596450811,-23.3495008964459,6.44386428216487,-57.9781081314324,15.63,26.78,8.14,NA,NA,2018-08-23 02:00:00
"19","Blaine","2018-08-23","2:00",869.706225960694,-23.2822491624722,6.39644567722222,-57.7539980939444,15.63,26.78,8.14,NA,NA,2018-08-23 02:00:00
"33","Blaine","2018-08-23","2:00",873.051086739583,-22.91896887925,6.19062916389167,-58.3559341195,15.63,26.78,8.14,NA,NA,2018-08-23 02:00:00
"9","Blaine","2018-08-23","4:00",902.506028285417,-24.1142892277917,6.51160532098611,-58.1651598298333,15.01,26.8,8.11,NA,NA,2018-08-23 04:00:00
"17","Blaine","2018-08-23","4:00",878.133308555139,-23.6623815680139,6.52291578601667,-57.84913856175,15.01,26.8,8.11,NA,NA,2018-08-23 04:00:00
"36","Blaine","2018-08-23","4:00",891.448191704595,-23.6727100931081,6.516700327,-57.7159619398649,15.01,26.8,8.11,NA,NA,2018-08-23 04:00:00
"8","Blaine","2018-08-23","6:00",866.986205425676,-23.7223590652027,6.44883806234054,-57.4515578287838,14.52,26.81,8.09,150,0.00249966671110519,2018-08-23 06:00:00
"31","Blaine","2018-08-23","6:00",874.014564913243,-24.4307647783649,6.61779656704054,-57.7646248754054,14.52,26.81,8.09,150,0.00249966671110519,2018-08-23 06:00:00
"88","OakLolomai","2018-09-26","10:00",736.086462969136,-19.6686107563519,9.98359132630741,-56.0433649932963,20.09,26.44,8.47,170,0.00283295560591921,2018-09-26 10:00:00
"103","OakLolomai","2018-09-26","10:00",670.75598550358,-19.6991499743827,9.2658792109037,-55.6447477514444,20.09,26.44,8.47,170,0.00283295560591921,2018-09-26 10:00:00
"115","OakLolomai","2018-09-26","10:00",687.513067195179,-19.3789058398929,10.0934079324643,-55.6197646250714,20.09,26.44,8.47,170,0.00283295560591921,2018-09-26 10:00:00
"81","OakLolomai","2018-09-26","12:00",706.081556416786,-17.5457863923929,7.21930859296786,-55.5591994468929,27.29,26.4,8.5,170,0.00283295560591921,2018-09-26 12:00:00
"102","OakLolomai","2018-09-26","12:00",652.673009326786,-17.8899150629286,6.88352311036429,-55.4994163647857,27.29,26.4,8.5,170,0.00283295560591921,2018-09-26 12:00:00
"119","OakLolomai","2018-09-26","12:00",663.76788460537,-18.0073572965,7.1653679076,-55.7489165127407,27.29,26.4,8.5,170,0.00283295560591921,2018-09-26 12:00:00
"87","OakLolomai","2018-09-26","14:00",650.458694128214,-17.7369840376786,6.103818258225,-54.9533084702143,22,26.34,8.59,170,0.00283295560591921,2018-09-26 14:00:00
"106","OakLolomai","2018-09-26","14:00",632.432625324107,-17.5679451187321,6.13445448136786,-55.1796607901071,22,26.34,8.59,170,0.00283295560591921,2018-09-26 14:00:00
"123","OakLolomai","2018-09-26","14:00",598.670053052679,-18.2339591349107,5.83544062089286,-55.4825283175,22,26.34,8.59,170,0.00283295560591921,2018-09-26 14:00:00
"89","OakLolomai","2018-09-26","16:00",554.97808285375,-18.9520943958571,5.75183839955714,-54.7945272086429,22.01,26.31,8.56,171,0.00284962005065991,2018-09-26 16:00:00
"99","OakLolomai","2018-09-26","16:00",543.394489633519,-18.2364347332222,5.78069046225185,-55.9419147507778,22.01,26.31,8.56,171,0.00284962005065991,2018-09-26 16:00:00
"121","OakLolomai","2018-09-26","16:00",549.885485121786,-18.2152732479821,5.51653372468571,-55.4482792101786,22.01,26.31,8.56,171,0.00284962005065991,2018-09-26 16:00:00
"86","OakLolomai","2018-09-26","18:00",518.841357218793,-18.7555561062241,5.76380047673448,-56.1789480251379,21.78,26.31,8.54,169,0.00281629116117851,2018-09-26 18:00:00
"101","OakLolomai","2018-09-26","18:00",488.03277025963,-18.8058635727778,5.69081636648889,-55.7934092327778,21.78,26.31,8.54,169,0.00281629116117851,2018-09-26 18:00:00
"116","OakLolomai","2018-09-26","18:00",506.106800727414,-19.6392031491379,5.5720067912931,-56.4711121282414,21.78,26.31,8.54,169,0.00281629116117851,2018-09-26 18:00:00
"80","OakLolomai","2018-09-26","20:00",485.039889903214,-19.4967510498393,7.45981979243929,-55.7401992503929,21.37,26.34,8.52,168,0.00279962671643781,2018-09-26 20:00:00
"107","OakLolomai","2018-09-26","20:00",494.853385202857,-19.7478838633214,7.52361206715714,-54.7761197676071,21.37,26.34,8.52,168,0.00279962671643781,2018-09-26 20:00:00
"120","OakLolomai","2018-09-26","20:00",490.328181519643,-19.6851927451071,7.83025409831786,-55.5996195915,21.37,26.34,8.52,168,0.00279962671643781,2018-09-26 20:00:00
"79","OakLolomai","2018-09-26","22:00",550.319352850357,-19.7494992866964,7.156138619,-55.6613991906071,20.87,26.37,8.48,167,0.00278296227169711,2018-09-26 22:00:00
"105","OakLolomai","2018-09-26","22:00",496.378210190536,-20.0648781338393,6.780025099125,-56.0311332097143,20.87,26.37,8.48,167,0.00278296227169711,2018-09-26 22:00:00
"125","OakLolomai","2018-09-26","22:00",514.939198194444,-19.7706316767593,6.96291085103333,-55.4425636002963,20.87,26.37,8.48,167,0.00278296227169711,2018-09-26 22:00:00
"100","OakLolomai","2018-09-26","6:00",606.146287116429,-21.3873566780357,8.37092209925714,-55.2670955236071,19.87,26.42,8.43,171,0.00284962005065991,2018-09-26 06:00:00
"114","OakLolomai","2018-09-26","6:00",587.537761939821,-21.4055710042679,8.37225278778571,-56.1169959963214,19.87,26.42,8.43,171,0.00284962005065991,2018-09-26 06:00:00
"90","OakLolomai","2018-09-26","8:00",614.883752053333,-20.5841542039815,8.6588602865963,-55.9507319270741,19.6,26.44,8.42,171.67,0.00286078522863618,2018-09-26 08:00:00
"113","OakLolomai","2018-09-26","8:00",600.428912926667,-21.054707412037,8.18259873566667,-55.7258676663333,19.6,26.44,8.42,171.67,0.00286078522863618,2018-09-26 08:00:00
"97","OakLolomai","2018-09-27","0:00",515.316633769464,-20.4877242345357,7.76642100644643,-56.0769780484643,20.51,26.38,8.46,170,0.00283295560591921,2018-09-27 00:00:00
"124","OakLolomai","2018-09-27","0:00",506.627043878148,-20.421670576,7.85120762665556,-55.5604020661111,20.51,26.38,8.46,170,0.00283295560591921,2018-09-27 00:00:00
"83","OakLolomai","2018-09-27","2:00",494.56562213375,-21.0254985745179,7.63474425527143,-55.6979521555,20.18,26.39,8.45,169,0.00281629116117851,2018-09-27 02:00:00
"98","OakLolomai","2018-09-27","2:00",540.289413166964,-20.8876588661429,8.37564998461786,-55.8184247545357,20.18,26.39,8.45,169,0.00281629116117851,2018-09-27 02:00:00
"117","OakLolomai","2018-09-27","2:00",520.737312039815,-20.947503298037,8.52340416063704,-56.1285699427407,20.18,26.39,8.45,169,0.00281629116117851,2018-09-27 02:00:00
"85","OakLolomai","2018-09-27","4:00",497.194310108393,-21.7030288985,8.33629716501786,-55.4699761480714,19.7,26.39,8.43,170,0.00283295560591921,2018-09-27 04:00:00
"118","OakLolomai","2018-09-27","4:00",498.208244386603,-21.5075873569038,7.86610180300385,-55.0164762741154,19.7,26.39,8.43,170,0.00283295560591921,2018-09-27 04:00:00
"78","OakLolomai","2018-09-27","6:00",501.945716744074,-21.2833489362222,7.9199097898,-55.4862502818889,19.18,26.42,8.46,171,0.00284962005065991,2018-09-27 06:00:00
"82","OakWillow","2018-09-27","12:00",1144.19882659074,-16.7541310874444,10.2420351185185,-56.4779657814074,19.68,26.48,8.29,203,0.00338288228236235,2018-09-27 12:00:00
"96","OakWillow","2018-09-27","12:00",1180.61060893929,-16.7049076266429,10.9866053476071,-56.8089888916429,19.68,26.48,8.29,203,0.00338288228236235,2018-09-27 12:00:00
"126","OakWillow","2018-09-27","12:00",1144.27952982407,-16.6865178416852,10.5211739098148,-55.9309357116667,19.68,26.48,8.29,203,0.00338288228236235,2018-09-27 12:00:00
"95","OakWillow","2018-09-27","16:00",1083.74280504012,-16.813620738,11.2963058591852,-56.2702687147037,20.85,26.36,8.25,202,0.00336621783762165,2018-09-27 16:00:00
"112","OakWillow","2018-09-27","16:00",1062.07945676071,-17.2699617476964,10.8733202593214,-56.6108133760357,20.85,26.36,8.25,202,0.00336621783762165,2018-09-27 16:00:00
"131","OakWillow","2018-09-27","16:00",1091.80339198036,-16.9704563716786,11.2529189727143,-56.6878876824286,20.85,26.36,8.25,202,0.00336621783762165,2018-09-27 16:00:00
"94","OakWillow","2018-09-27","20:00",1037.49924295741,-18.7617246972963,12.294467900037,-56.0472812807778,20.83,26.39,8.19,202,0.00336621783762165,2018-09-27 20:00:00
"111","OakWillow","2018-09-27","20:00",1030.51343070893,-19.2444099833214,12.4310816741786,-55.1262941216429,20.83,26.39,8.19,202,0.00336621783762165,2018-09-27 20:00:00
"130","OakWillow","2018-09-27","20:00",1025.84945264821,-19.1552324725893,12.1899917196071,-56.0794730910714,20.83,26.39,8.19,202,0.00336621783762165,2018-09-27 20:00:00
"84","OakWillow","2018-09-27","8:00",1059.52275752407,-19.6191737212037,11.5131255695556,-56.7050521743333,17.74,26.54,8.18,205,0.00341621117184375,2018-09-27 08:00:00
"104","OakWillow","2018-09-27","8:00",1119.69575352414,-18.8263254086207,12.4402559702069,-55.1141485711034,17.74,26.54,8.18,205,0.00341621117184375,2018-09-27 08:00:00
"122","OakWillow","2018-09-27","8:00",1119.6156422625,-19.1693452724821,12.4939652911071,-56.2088546932143,17.74,26.54,8.18,205,0.00341621117184375,2018-09-27 08:00:00
"93","OakWillow","2018-09-28","0:00",1020.56604971667,-20.4286724657222,11.8664661149259,-55.8329483332222,20.7,26.44,8.19,205,0.00341621117184375,2018-09-28 00:00:00
"110","OakWillow","2018-09-28","0:00",1022.86495393393,-19.9011147128214,11.6914544376786,-56.2849394511786,20.7,26.44,8.19,205,0.00341621117184375,2018-09-28 00:00:00
"128","OakWillow","2018-09-28","0:00",982.013022677407,-20.2188762864815,11.7155482355926,-55.8905827228148,20.7,26.44,8.19,205,0.00341621117184375,2018-09-28 00:00:00
"92","OakWillow","2018-09-28","4:00",1027.02517575309,-21.1845599691543,11.9909867221852,-56.0019250703333,18.72,26.47,8.17,204,0.00339954672710305,2018-09-28 04:00:00
"109","OakWillow","2018-09-28","4:00",1050.97982444107,-20.8822103270179,12.33502166,-56.2005624228929,18.72,26.47,8.17,204,0.00339954672710305,2018-09-28 04:00:00
"129","OakWillow","2018-09-28","4:00",1023.07040556607,-21.2519022571964,11.9436788029643,-56.2218895878214,18.72,26.47,8.17,204,0.00339954672710305,2018-09-28 04:00:00
"91","OakWillow","2018-09-28","8:00",1155.79615388036,-19.3852682503214,12.7565133258214,-56.3200527472143,17.71,26.51,8.18,206,0.00343287561658446,2018-09-28 08:00:00
"108","OakWillow","2018-09-28","8:00",1136.28702683929,-19.4464611969821,13.0170311923929,-56.2744872936786,17.71,26.51,8.18,206,0.00343287561658446,2018-09-28 08:00:00
"127","OakWillow","2018-09-28","8:00",1115.74876282308,-19.8047167159103,12.4348434169231,-56.4621047807692,17.71,26.51,8.18,206,0.00343287561658446,2018-09-28 08:00:00
