"","Syringe","ResetTime","H2O_mL","air_mL","CO2","delCO2","CH4","delCH4","SampleID","WaterTemp_C","Baro_inHg","AirTemp_C","pRH"
"35",132,"2018-09-28 21:52:36",40,70,1030.48467988958,-19.2607790672917,12.429807384,-55.1088907415,"OakWillow_927_2000",20.83,26.39,17.5,65.3
"36",134,"2018-09-28 21:44:52",40,70,1061.9806168875,-17.2734086636458,10.86817152275,-56.528791247625,"OakWillow_927_1600",20.85,26.36,25,63.9
"37",2,"2018-09-28 21:12:05",40,70,600.413844766087,-21.0073478260217,8.17952413973043,-55.7567530929565,"OakLolomai_926_0800",19.6,26.44,15.3,81.4
"38",5,"2018-09-28 22:05:18",40,70,587.55207851375,-21.4010174102292,8.37005275774167,-56.204398301625,"OakLolomai_926_0600",19.87,26.42,14.2,83.2
"39",9,"2018-09-28 21:14:28",40,70,687.450185910417,-19.3647868017917,10.087797857,-55.720815305875,"OakLolomai_926_1000",20.09,26.44,29.7,37.4
"40",12,"2018-09-28 22:12:52",40,70,506.29135981375,-19.8132388132292,5.57164469209167,-56.6243602987083,"OakLolomai_926_1800",21.78,26.31,22.7,56
"41",13,"2018-09-28 23:31:39",40,70,520.781904311087,-20.8345270907391,8.5202632125087,-56.1319899726522,"OakLolomai_927_0200",20.18,26.39,13.6,60
"42",24,"2018-09-28 21:09:34",40,70,499.604832005076,-21.4817348465455,7.86544589870455,-55.2049162186818,"OakLolomai_927_0400",19.7,26.39,11.6,68.4
"43",27,"2018-09-28 22:10:10",40,70,663.798072470435,-18.0222674277174,7.16282882113913,-55.663877802913,"OakLolomai_926_1200",27.29,26.4,24.3,40.3
"44",29,"2018-09-29 00:08:38",40,70,490.61655539875,-19.669878314125,7.83035654825,-55.596544728375,"OakLolomai_926_2000",21.37,26.34,16.7,65.7
"45",30,"2018-09-28 23:41:21",40,70,549.955262815833,-18.2498852202292,5.51648341088333,-55.4040924855417,"OakLolomai_926_1600",22.01,26.31,28.9,40.6
"46",33,"2018-09-28 23:21:54",40,70,1119.49190229167,-19.1851847418958,12.48419863525,-56.2308571225,"OakWillow_927_0800",17.74,26.54,14.1,64.7
"47",35,"2018-09-29 00:13:07",40,70,598.612051318542,-18.266216102,5.83383441557083,-55.5831971578333,"OakLolomai_926_1400",22,26.34,33.7,20.2
"48",52,"2018-09-29 00:25:21",40,70,506.748711118696,-20.4761218041087,7.84932506728696,-55.6106129021739,"OakLolomai_927_0000",20.51,26.38,14.5,63.8
"49",53,"2018-09-28 23:24:21",40,70,515.433822261304,-19.8966807348913,6.96344251379565,-55.425349378913,"OakLolomai_926_2200",20.87,26.37,15.4,64.2
"50",120,"2018-09-28 21:47:32",40,70,1145.46316028542,-16.7200396856458,10.550019186375,-55.9657039730417,"OakWillow_927_1200",19.68,26.48,31.2,46.3
"51",123,"2018-09-28 20:39:45",40,70,1115.51019150682,-19.7634858735758,12.4265583398182,-56.4796698902727,"OakWillow_928_0800",17.71,26.51,14.1,71.4
"52",125,"2018-09-28 22:15:17",40,70,982.144012886956,-20.2853000883043,11.7076485978261,-55.8084542584783,"OakWillow_928_0000",20.7,26.44,12.6,89.6
"53",126,"2018-09-28 20:59:35",40,70,1022.89272154375,-21.2579498517708,11.937466758625,-56.0823324625,"OakWillow_928_0400",18.72,26.47,9.3,90.7
"54",130,"2018-09-28 20:57:06",40,70,1024.28318878542,-19.1698741655833,12.13428367375,-55.80106015425,"OakWillow_927_2000",20.83,26.39,17.5,65.3
"55",135,"2018-09-28 21:42:28",40,70,1091.36926866522,-17.0058024490652,11.247246027913,-56.855911912087,"OakWillow_927_1600",20.85,26.36,25,63.9
